locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
10832,,,,6.89,6.87,9.82,12.03,5.77,5.75,8.69,10.75,9.3,12.3,13.5,13.5,13.5,9.3,4.7,4.7,352,327,337,337,320,352,59,64,3.6,4,7.3,9,3.1,3.1,2.7,2.2
10834,,,,4.39,4.62,6.02,7.42,3.39,3.86,5.35,6.69,9.3,12.3,13.5,13.5,13.5,9.3,4.7,4.7,352,327,337,337,320,352,59,64,3.6,4,7.3,9,3.1,3.1,2.7,2.2
10837,3,5 ,poor to fair,2.2,2.44,2.48,2.36,1.2,1.44,1.48,1.36,9.3,13.5,13.5,13.5,4.7,4.7,4.7,4.7,352,325,335,337,42,51,57,62,3.9,3.3,6.1,8.4,3,3.2,3.2,2.7
10849,0,1,,1.46,1.44,1.69,2.13,0.46,0.44,0.69,1.19,12.3,11.2,13.5,12.3,14.9,13.5,11.2,11.2,197.0,197.0,329.0,331.0,325.0,326.0,197.0,197.0,1.1,1.1,1.3,2,0.8,0.9,1.1,1
10850,3,5,,5.02,4.56,6.93,9.71,3.8,3.21,4.85,7.12,10.2,9.3,13.5,13.5,4.7,4.7,4.7,4.7,353.0,354.0,338.0,341.0,37.0,39.0,41.0,46.0,3.9,3.2,4.7,7.3,3.2,3.1,2.8,2.3
13830,,,,1.1,1.09,1.08,1.1,0.1,0.09,0.08,0.1,5.2,5.7,5.7,12.3,11.2,11.2,11.2,5.7,17,16,16,327,197,197,197,16,1.5,1.5,1.3,1.1,1.2,1.1,1.1,1.1
16175,4,7,fair to good,4.03,5.04,5.78,5.26,2.82,3.53,4.04,4.18,18,18,18,4.7,10.2,10.2,10.2,16.3,190,191,195,55,206,205,205,195,1.9,2.5,3.1,4.6,1.5,1.6,1.7,3.1
16699,6,7,,8.43,8.1,7.58,6.31,5.9,5.67,5.3,4.42,14.9,14.9,14.9,13.5,10.2,10.2,10.2,10.2,201,202,202,202,195,195,206,207,5,4.8,4.6,4.3,3,2.9,2.2,2.1
17424,10,11,,7.58,11.13,15.49,18.35,6.58,10.13,14.49,16.43,6.9,8.4,9.3,11.2,10.2,0.0,0.0,0.0,238.0,245.0,253.0,262.0,263.0,0.0,0.0,0.0,7.6,11.1,15.5,17.5,5.4,0,0,0
17513,1,2,POOR,2.45,2.36,2.19,1.9,1.48,1.39,1.19,0.9,6.9,6.9,6.3,6.3,8.4,8.4,8.4,8.4,36,41,45,48,103,103,103,104,2.8,2.5,2.1,1.7,1.4,1.4,1.4,1.4
18822,3,4,,4.74,4.37,4.31,4.29,3.74,3.37,3.31,3.29,7.6,7.6,8.4,8.4,0,0,0,0,111,111,111,109,0,0,0,0,4.7,4.4,4.3,4.3,0,0,0,0
103685,1,2,POOR TO FAIR,1.13,1.2,1.36,1.54,0.13,0.2,0.36,0.54,11.2,11.2,11.2,11.2,8.4,14.9,12.3,11.2,186,186,186,185,165,214,276,274,1,1,1,1,0.4,0.4,0.7,0.8
103685,1,2,POOR TO FAIR,1.13,1.2,1.36,1.54,0.13,0.2,0.36,0.54,11.2,11.2,11.2,11.2,8.4,14.9,12.3,11.2,186,186,186,185,165,214,276,274,1,1,1,1,0.4,0.4,0.7,0.8
106914,1,2,POOR,1.27,1.09,0.98,0.98,0.34,0.09,0,0.08,4.7,5.7,5.7,6.3,8.4,3.6,10.2,10.2,170,184,194,195,111,226,117,124,3.7,3.9,5.1,7.9,0.7,1.6,0.8,0.6
106919,1,2,POOR,1.21,1.29,1.58,1.5,0.27,0.29,0.58,0.63,4.3,5.2,5.7,6.3,2.7,10.2,10.2,10.2,154,176,186,185,178,118,119,127,1.9,3.1,5.8,7.8,0.9,0.8,0.7,0.4
106923,,,NONE,3.02,2.37,3.29,4.25,2.07,1.37,2.29,3.34,5.2,4.7,4.7,5.2,9.3,8.4,8.4,9.3,175.0,184.0,197.0,206.0,110.0,111.0,113.0,113.0,4,2.9,4.1,6.4,0.8,0.8,0.8,0.8
107410,1,2,,1.79,1.78,1.67,1.59,0.89,0.87,0.76,0.59,5.7,6.3,6.3,5.7,8.4,5.2,5.2,5.2,72.0,70.0,70.0,70.0,107.0,140.0,136.0,136.0,1.5,1.5,1.4,1.2,0.9,0.8,0.9,0.7
107411,5,6,,6.81,6.27,5.98,5.62,5.41,5.27,5.28,4.93,12.3,11.2,11.2,11.2,5.2,5.2,4.7,4.7,227.0,226.0,229.0,229.0,186.0,182.0,187.0,187.0,5.5,5.6,5.4,5.2,2,1.5,2.1,2.4
107413,6,7,,7.02,7.11,7.48,7.65,5.71,6.36,6.48,6.85,12.3,11.2,11.2,11.2,0.0,0.0,0.0,2.4,224.0,221.0,220.0,219.0,0.0,0.0,0.0,204.0,5.7,6.5,6.7,6.9,0,0,0,0.4
107422,5,5,,5.91,5.48,4.9,6.09,4.96,4.5,3.9,5.09,6.3,6.9,6.9,6.9,4.3,4.3,10.2,10.2,61.0,65.0,67.0,63.0,357.0,356.0,197.0,196.0,6.2,5.6,4.9,6.1,1.2,1,0.7,0.6
107423,5,6,,5.56,5.69,3.93,3.97,5.17,4.72,2.93,3.2,6.9,6.9,6.9,4.7,11.2,10.2,4.7,9.3,326.0,318.0,321.0,250.0,168.0,171.0,262.0,170.0,5.2,5.8,3.7,3.2,3,2.6,2.8,2.8
107563,1,2,,2.77,2.61,2.52,1.79,1.82,1.61,1.79,1.03,4.3,4.7,5.2,5.7,10.2,9.3,9.3,9.3,97,97,93,89,122,123,123,120,2.9,2.6,3.4,2.3,0.3,0.3,0.3,0.3
107628,7,9,,9.8,8.8,7.22,7.23,7.87,6.86,6.18,6.23,12.3,12.3,5.7,7.6,4.3,5.2,11.2,11.2,217.0,219.0,239.0,234.0,255.0,245.0,223.0,226.0,7.9,6.9,6.2,6.6,2.9,4.7,5.6,4.6
107630,3,4,,3.12,4.14,3.6,6.3,2.19,3.14,3.34,4.63,13.5,13.5,6.9,12.3,3.6,3.6,12.3,6.9,213.0,213.0,249.0,220.0,285.0,305.0,217.0,253.0,2.2,2.1,3.3,4.6,1.6,1.4,2,3.5
107631,0,1,,1.32,1.36,1.41,1.54,0.32,0.36,0.41,0.54,11.2,11.2,11.2,11.2,14.9,14.9,14.9,11.2,186.0,186.0,186.0,186.0,212.0,212.0,212.0,276.0,0.9,1,1,1,0.8,0.7,0.6,0.7
107634,3,4,,4.96,4.37,4.22,4,4.04,3.37,3.22,3,12.3,11.2,11.2,11.2,0.0,0.0,0.0,0.0,283.0,285.0,286.0,287.0,0.0,0.0,0.0,0.0,4,3.9,3.8,3.6,0,0,0,0
107637,3,4,,4.79,4.46,3.72,3.22,3.6,3.34,2.92,2.25,11.2,11.2,11.2,10.2,11.2,4.7,5.7,5.7,300.0,302.0,304.0,306.0,270.0,28.0,351.0,350.0,3.6,3.3,3,2.7,2.3,2.1,2.5,2.5
107638,4,6,,5.51,5.73,9.9,12.09,3.86,4.01,7.22,8.88,9.3,12.3,13.5,13.5,13.5,9.3,4.7,4.7,352.0,327.0,337.0,337.0,320.0,352.0,57.0,62.0,3.6,4,7.3,9.1,3.1,3.1,2.6,2.2
107640,0,1,,1.18,1.26,1.38,1.55,0.18,0.26,0.38,0.55,11.2,11.2,11.2,11.2,8.4,14.9,12.3,11.2,186.0,186.0,186.0,185.0,165.0,214.0,276.0,274.0,1,1,1,1,0.4,0.4,0.7,0.8
107641,4,6,,6.52,5.96,7.22,9.96,4.56,4.17,5.06,7.74,10.2,9.3,13.5,12.3,14.9,6.9,6.9,8.4,348.0,350.0,330.0,337.0,321.0,62.0,65.0,66.0,4.6,3.9,4.5,7.9,2.9,3.5,3.5,3.1
107642,3,4,,4.75,4.27,4.11,3.84,4.24,3.29,3.2,2.91,11.2,11.2,11.2,11.2,5.2,11.2,11.2,6.3,292.0,302.0,303.0,305.0,120.0,270.0,270.0,347.0,4.2,3.5,3.2,2.9,0.4,2,1.7,1.8
10832,,,,6.89,6.87,9.82,12.03,5.77,5.75,8.69,10.75,9.3,12.3,13.5,13.5,13.5,9.3,4.7,4.7,352,327,337,337,320,352,59,64,3.6,4,7.3,9,3.1,3.1,2.7,2.2
10834,,,,4.39,4.62,6.02,7.42,3.39,3.86,5.35,6.69,9.3,12.3,13.5,13.5,13.5,9.3,4.7,4.7,352,327,337,337,320,352,59,64,3.6,4,7.3,9,3.1,3.1,2.7,2.2
10837,3,5 ,poor to fair,2.2,2.44,2.48,2.36,1.2,1.44,1.48,1.36,9.3,13.5,13.5,13.5,4.7,4.7,4.7,4.7,352,325,335,337,42,51,57,62,3.9,3.3,6.1,8.4,3,3.2,3.2,2.7
10849,0,1,,1.46,1.44,1.69,2.13,0.46,0.44,0.69,1.19,12.3,11.2,13.5,12.3,14.9,13.5,11.2,11.2,197.0,197.0,329.0,331.0,325.0,326.0,197.0,197.0,1.1,1.1,1.3,2,0.8,0.9,1.1,1
10850,3,5,,5.02,4.56,6.93,9.71,3.8,3.21,4.85,7.12,10.2,9.3,13.5,13.5,4.7,4.7,4.7,4.7,353.0,354.0,338.0,341.0,37.0,39.0,41.0,46.0,3.9,3.2,4.7,7.3,3.2,3.1,2.8,2.3
