locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
10832,,,,14.14,13.96,12.2,10.43,12.09,11.94,10.92,9.32,14.9,14.9,12.3,12.3,6.9,9.3,14.9,7.6,336,335,326,332,68,74,346,70,10,10.1,7.1,7.7,2.4,2.7,5.6,3
10834,,,,8.9,8.42,7.87,6.98,7.65,7.59,7.1,6.28,14.9,14.9,12.3,12.3,6.9,9.3,14.9,7.6,336,335,326,332,68,74,346,70,10,10.1,7.1,7.7,2.4,2.7,5.6,3
10837,3,5 ,poor to fair,2.12,2.33,2.35,2.32,1.12,1.33,1.35,1.32,14.9,14.9,14.9,12.3,8.4,9.3,8.4,8.4,337.0,336.0,335.0,333.0,73.0,75.0,77.0,75.0,9.5,9.9,9,7.7,3,3.3,3.4,3.4
10849,2,3,,3.13,3.43,3.39,2.41,2.37,2.44,2.4,1.41,12.3,13.5,13.5,12.3,11.2,10.2,10.2,10.2,331.0,331.0,330.0,328.0,196.0,196.0,196.0,196.0,2.4,2.6,2.5,2.1,1,0.9,0.9,0.8
10850,9,13,,12.36,12.53,11.58,8.19,8.65,8.77,8.11,6.58,14.9,14.9,14.9,12.3,6.3,6.3,6.3,6.3,341.0,340.0,340.0,339.0,28.0,29.0,29.0,38.0,8.3,8.6,7.9,6.6,1.8,1.9,1.8,1.8
13830,,,,1.16,1.25,1.37,1.48,0.16,0.25,0.37,0.48,12.3,12.3,13.5,12.3,11.2,11.2,11.2,11.2,328,327,326,327,197,299,300,299,1.5,1.8,2,1.9,1,1,1.2,1.3
16175,4,7,fair to good,5.7,5.98,5.72,5.94,4.85,4.19,5,5.07,6.3,5.7,5.7,5.7,16.3,16.3,14.9,14.9,51,44,50,55,195,196,196,196,5.4,3.7,5,6.9,3.1,3.3,3.2,3.1
16699,5,6,,6,6.35,5.63,5.61,4.2,4.49,4.32,4.37,13.5,13.5,12.3,12.3,10.2,12.3,4.3,4.7,202,202,202,200,207,311,174,177,4,4.5,4.3,4.4,2,1.5,1.6,1.5
17424,14,16,,17.19,15.93,14.58,13.52,15.38,14.23,13.03,12.06,11.2,11.2,11.2,11.2,12.3,12.3,11.2,11.2,261.0,257.0,252.0,251.0,356.0,355.0,356.0,356.0,15.4,14.2,13.3,12.1,0.3,0.6,0.8,0.8
17513,1,2,POOR,1.61,1.4,1.33,1.37,0.61,0.4,0.33,0.37,2.7,8.4,8.4,8.4,8.4,5.7,5.7,5.7,157,104,102,103,104,61,69,75,1.7,1.4,1.4,1.5,1.4,1.1,1,1
