locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
10832,,,,12.98,13.4,13.17,11.28,10.86,11.21,11.02,9.47,16.3,14.9,14.9,13.5,8.4,8.4,8.4,8.4,339,338,336,335,65,66,66,66,6.5,7.8,7.4,7,5.8,5.6,5.4,5.3
10834,,,,6.14,6.88,7.27,6.71,5.14,5.75,6.08,5.77,16.3,14.9,14.9,13.5,8.4,8.4,8.4,8.4,339,338,336,335,65,66,66,66,6.5,7.8,7.4,7,5.8,5.6,5.4,5.3
10837,3,5 ,poor to fair,3.66,3.39,3.21,3.25,3.07,2.39,2.21,2.25,8.4,14.9,14.9,8.4,16.3,8.4,8.4,13.5,82,339,337,83,339,86,85,334,7.6,7.5,7.3,6.5,5.9,6.4,6.5,6.3
10849,3,4,,3.18,3.85,4.03,3.61,2.23,2.69,2.82,2.53,18.0,16.3,14.9,13.5,12.3,12.3,18.0,12.3,341.0,339.0,329.0,329.0,196.0,196.0,345.0,196.0,1.5,2.1,1.8,1.8,1.4,1.4,1.5,1.4
10850,8,11,,10.11,11.21,11.11,9.34,7.07,7.84,7.77,6.54,18.0,16.3,14.9,13.5,11.2,5.7,7.6,6.9,340.0,340.0,340.0,337.0,358.0,44.0,43.0,45.0,5.2,6.7,6.7,5.6,3.2,2.9,3.6,3.3
13830,,,,1.3,1.26,1.21,1.13,0.3,0.26,0.21,0.13,12.3,11.2,14.9,14.9,12.3,12.3,12.3,12.3,15.0,15.0,328.0,328.0,196.0,196.0,196.0,196.0,1.8,1.5,1.6,1.6,1.5,1.4,1.4,1.4
16175,2,3,fair,3.37,3.66,4.53,5.8,2.37,3.22,3.53,4.95,5.2,5.2,5.7,6.3,12.3,12.3,14.9,13.5,43,41,46,49,212,212,209,205,2.8,3.2,4.5,6.8,1.7,1.8,2.4,1.8
16699,4,4,,5.48,4.74,4.53,4.4,3.84,3.4,3.24,3.13,13.5,12.3,12.3,12.3,7.6,8.4,8.4,8.4,210,210,209,209,177,178,178,178,3.6,3.5,3.3,3.2,2.7,2.6,2.5,2.4
17424,6,7,,7.91,7.1,5.59,5.76,5.71,5.57,4.93,4.76,10.2,8.4,7.6,7.6,9.3,10.2,9.3,9.3,279.0,345.0,336.0,339.0,346.0,278.0,276.0,275.0,5.8,5.8,4.9,5.7,5.6,4.8,3.8,3.5
17513,3,4,POOR,4.57,4.59,4.51,3.65,3.61,3.62,3.53,2.67,6.3,6.9,6.9,6.9,11.2,11.2,11.2,4.7,93,94,91,100,57,59,56,48,6.2,6.2,5.9,5.1,1.5,1.1,1.2,2.6
18822,2,3,,3.02,3.04,2.9,2.99,2.04,2.08,1.97,2.08,6.3,6.9,6.9,6.9,5.2,5.2,6.3,6.3,107,107,99,110,45,48,40,46,2.6,2.8,3.1,2.8,1.5,1.4,0.6,1.7
