locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
10832,,,,7.21,6.84,6.52,6.55,6.03,5.85,5.64,5.48,13.5,12.3,12.3,12.3,9.3,9.3,9.3,9.3,310,310,310,310,74,74,74,75,4.9,4.9,4.7,4.4,4.1,3.8,3.6,3.4
10834,,,,5.66,5.25,4.89,4.71,4.82,4.27,4.38,4.23,13.5,12.3,12.3,12.3,9.3,9.3,9.3,9.3,310,310,310,310,74,74,74,75,4.9,4.9,4.7,4.4,4.1,3.8,3.6,3.4
10837,3,5 ,poor to fair,3.02,2.85,2.72,2.6,2.02,1.85,1.72,1.6,9.3,9.3,9.3,8.4,13.5,12.3,12.3,12.3,88,88,89,91,310,310,310,312,5.3,5.1,4.9,4.7,4.3,4.5,4.4,4.3
10849,0,1,,1.38,1.4,1.4,1.42,0.38,0.4,0.4,0.42,13.5,13.5,12.3,12.3,10.2,7.6,7.6,7.6,320.0,320.0,320.0,322.0,185.0,152.0,153.0,153.0,0.8,1,1,1,0.6,0.6,0.6,0.6
10850,2,3,,3.27,3.03,2.98,3.25,2.29,2.12,1.98,2.27,13.5,12.3,12.3,14.9,8.4,8.4,8.4,7.6,320.0,321.0,323.0,334.0,47.0,47.0,47.0,48.0,2,2.1,2.1,1.6,1.9,1.9,1.8,1.6
13830,,,,1.85,2.17,2.35,2.39,0.85,1.17,1.35,1.4,14.9,13.5,12.3,12.3,10.2,7.6,6.9,6.9,302.0,303.0,302.0,302.0,306.0,153.0,153.0,153.0,1.8,2.4,2.6,2.6,1,0.9,0.8,0.8
16175,1,2,poor to fair,2.06,3.02,2.82,2.9,1.06,2.02,1.88,1.96,4.3,4.7,5.2,4.7,6.9,6.9,11.2,13.5,36,40,45,50,178,183,216,211,1,2.3,3,3.1,1,0.9,0.9,1.4
16699,3,4,,3.73,3.93,3.57,3.38,2.61,2.75,2.5,2.37,12.3,12.3,4.3,4.3,3.9,4.3,12.3,11.2,214,214,166,172,168,163,214,214,2.5,2.4,2.4,2.2,1.8,2.4,2.3,2.1
17424,7,9,,7.85,9.29,11.03,11.86,6.85,6.5,7.72,8.3,7.6,8.4,13.5,13.5,10.2,14.9,10.2,6.9,281.0,292.0,272.0,272.0,255.0,271.0,272.0,232.0,7.7,5.2,7.3,8,3.5,5.1,4.2,6.9
17513,1,2,VERY POOR,1.38,1.48,1.5,1.44,0.38,0.48,0.5,0.44,8.4,8.4,8.4,9.3,5.2,5.2,5.2,5.2,98.0,99.0,100.0,101.0,128.0,126.0,123.0,122.0,1.7,1.8,1.8,1.8,0.9,1.1,1.1,1.1
18822,5,6,,6.33,6.55,6.61,6.49,5.33,5.55,5.61,5.49,8.4,8.4,8.4,8.4,6.3,0,0,0,106,108,107,109,345,0,0,0,6.3,6.5,6.6,6.5,0.1,0,0,0
103685,1,2,POOR TO FAIR,0.92,0.88,0.87,0.88,0,0,0,0,11.2,11.2,11.2,10.2,5.7,6.3,5.2,5.2,284.0,284.0,284.0,284.0,279.0,280.0,280.0,280.0,1,0.9,0.8,0.8,0.9,0.7,0.6,0.5
103685,1,2,POOR TO FAIR,0.92,0.88,0.87,0.88,0,0,0,0,11.2,11.2,11.2,10.2,5.7,6.3,5.2,5.2,284.0,284.0,284.0,284.0,279.0,280.0,280.0,280.0,1,0.9,0.8,0.8,0.9,0.7,0.6,0.5
106914,,,FLAT,0.25,0.33,0.33,0.41,0,0,0,0,10.2,10.2,2.9,8.4,2.4,2.4,9.3,4.7,121,121,267,120,240,281,121,204,0.7,0.8,1,0.9,0.1,0.6,0.9,0.5
106919,,,FLAT,0.37,0.42,0.42,0.43,0,0,0,0,10.2,3.2,2.9,3.2,2.4,10.2,10.2,9.3,123.0,236.0,247.0,246.0,236.0,123.0,123.0,123.0,0.5,1.5,1.2,1,0.3,0.6,0.7,0.8
106923,,,NONE,0.57,0.89,0.94,1.14,0,0,0.03,0.14,10.2,9.3,9.3,9.3,3.6,4.3,4.3,3.2,116,116,116,116,210,201,203,237,0.9,1,1.1,1.1,0.1,0.8,0.9,1
107410,2,3,,3.39,3.36,3.36,3.49,2.39,2.36,2.36,2.53,7.6,7.6,7.6,7.6,9.3,9.3,9.3,3.9,74.0,74.0,75.0,78.0,106.0,105.0,107.0,46.0,2.6,2.6,2.6,2.2,2.1,2.1,2,2
107411,21,26,,28.88,25.92,23.67,20.31,21.37,21.1,19.27,16.53,13.5,12.3,12.3,12.3,0.0,0.0,0.0,0.0,227.0,223.0,218.0,213.0,0.0,0.0,0.0,0.0,21.4,21.4,20.5,17.3,0,0,0,0
107413,1,2,,2.02,1.56,1.11,0.94,1.02,0.56,0.11,0,11.2,11.2,10.2,10.2,4.3,6.3,16.3,13.5,225.0,225.0,226.0,225.0,120.0,120.0,257.0,240.0,2,1.5,1.1,0.8,0.1,0.1,0.2,0.3
107422,4,5,,5.8,5.23,4.55,3.89,4.87,4.26,3.55,2.89,6.3,6.3,6.3,6.3,3.9,4.3,9.3,8.4,57.0,58.0,59.0,57.0,355.0,356.0,193.0,109.0,6.2,5.4,4.6,3.9,1.3,0.9,0.5,1
107423,5,6,,5.82,6.49,7.69,6.91,4.82,5.45,6.13,5.31,8.4,9.3,12.3,12.3,13.5,13.5,9.3,4.7,148.0,149.0,148.0,152.0,145.0,146.0,208.0,126.0,5.5,5.5,6.1,5.3,2.2,2.8,1.3,2.9
107563,,,,0.28,0.23,0.12,0,0,0,0,0,3.9,4.3,4.3,0,0,0,0,0,23,24,26,0,0,0,0,0,0.3,0.3,0.2,0,0,0,0,0
107628,7,7,,7.29,7.49,7.5,7.11,6.29,6.98,6.89,6.11,10.2,10.2,10.2,10.2,5.2,5.7,6.9,6.3,218.0,218.0,219.0,220.0,117.0,98.0,104.0,95.0,6.7,7.1,7.1,6.7,4.4,3.8,3.8,3.2
107630,5,7,,6.66,6.51,5.89,5.34,4.66,4.56,4.12,3.74,12.3,12.3,11.2,13.5,14.9,13.5,13.5,11.2,213.0,212.0,211.0,338.0,339.0,339.0,338.0,211.0,3.6,3.6,3.3,2.9,3.1,3.3,3.1,2.8
107631,0,1,,1.41,1.3,1.24,1.19,0.41,0.3,0.24,0.19,11.2,11.2,11.2,11.2,5.7,6.3,5.2,5.2,284.0,284.0,284.0,284.0,280.0,280.0,281.0,281.0,1,0.9,0.8,0.8,0.8,0.7,0.6,0.5
107634,3,4,,3.9,3.75,5.6,4.93,3.41,2.75,4.69,3.94,4.7,4.7,5.7,6.3,10.2,10.2,10.2,10.2,298.0,289.0,290.0,299.0,300.0,291.0,287.0,281.0,3.4,3.8,6.1,5,3.1,2.8,2.2,1.9
107637,4,6,,6.11,6.06,6.16,5.71,4.56,4.24,4.31,4,10.2,10.2,14.9,13.5,9.3,14.9,10.2,9.3,332.0,332.0,280.0,280.0,279.0,280.0,331.0,326.0,4.6,3.5,3.4,3.7,2.3,3,2.7,2
107638,5,7,,7.36,6.71,6.44,6.37,5.15,5.01,4.81,4.46,13.5,12.3,12.3,12.3,9.3,8.4,8.4,8.4,310.0,310.0,310.0,310.0,66.0,66.0,66.0,67.0,5,5,4.8,4.5,3.3,3.1,3,2.8
107640,0,1,,1.4,1.31,1.25,1.19,0.4,0.31,0.25,0.19,11.2,11.2,11.2,10.2,5.7,6.3,5.2,5.2,284.0,284.0,284.0,284.0,279.0,280.0,280.0,280.0,1,0.9,0.8,0.8,0.9,0.7,0.6,0.5
107641,6,8,,7.34,7.91,7.38,6.96,5.6,5.54,5.16,5,9.3,9.3,9.3,8.4,13.5,13.5,12.3,12.3,88.0,89.0,91.0,93.0,312.0,311.0,311.0,312.0,5.6,5.4,5.2,5,3.4,4.5,4.6,4.5
107642,5,6,,6.83,6.07,5.98,5.35,5.58,4.61,4.18,3.75,11.2,10.2,10.2,13.5,16.3,14.9,14.9,10.2,328.0,327.0,334.0,283.0,284.0,284.0,284.0,337.0,5.6,4.6,3.5,3.4,1.7,2.6,3.1,2.6
10832,,,,7.21,6.84,6.52,6.55,6.03,5.85,5.64,5.48,13.5,12.3,12.3,12.3,9.3,9.3,9.3,9.3,310,310,310,310,74,74,74,75,4.9,4.9,4.7,4.4,4.1,3.8,3.6,3.4
10834,,,,5.66,5.25,4.89,4.71,4.82,4.27,4.38,4.23,13.5,12.3,12.3,12.3,9.3,9.3,9.3,9.3,310,310,310,310,74,74,74,75,4.9,4.9,4.7,4.4,4.1,3.8,3.6,3.4
10837,3,5 ,poor to fair,3.02,2.85,2.72,2.6,2.02,1.85,1.72,1.6,9.3,9.3,9.3,8.4,13.5,12.3,12.3,12.3,88,88,89,91,310,310,310,312,5.3,5.1,4.9,4.7,4.3,4.5,4.4,4.3
10849,0,1,,1.38,1.4,1.4,1.42,0.38,0.4,0.4,0.42,13.5,13.5,12.3,12.3,10.2,7.6,7.6,7.6,320,320,320,322,185,152,153,153,0.8,1,1,1,0.6,0.6,0.6,0.6
10850,2,3,,3.27,3.03,2.98,3.25,2.29,2.12,1.98,2.27,13.5,12.3,12.3,14.9,8.4,8.4,8.4,7.6,320,321,323,334,47,47,47,48,2,2.1,2.1,1.6,1.9,1.9,1.8,1.6
109918,1,2,POOR TO FAIR,1.41,1.32,1.26,1.23,0.41,0.32,0.26,0.23,11.2,11.2,11.2,11.2,5.7,6.3,5.2,5.2,284.0,284.0,284.0,284.0,280.0,280.0,281.0,281.0,1,0.9,0.8,0.8,0.8,0.7,0.6,0.5
110352,3,4,,6.68,6.63,6.31,6.52,5.21,4.9,5.32,5.52,12.3,12.3,5.2,5.7,11.2,4.7,12.3,11.2,273,272,177,182,20,168,272,275,5.2,4.9,6.1,6.5,1.7,4.7,4.3,4.4
110383,2,3,,5.95,5.59,5.2,7.64,4.52,4.12,4.1,6.11,12.3,12.3,11.2,5.7,3.9,4.3,5.2,11.2,272,272,273,173,179,180,159,262,4.5,4.1,4.1,6.1,2.9,4,3.9,4.3
110386,5,7,,7.24,6.77,7.04,11.73,5.73,5.13,5.03,9.52,12.3,12.3,11.2,12.3,4.3,6.3,8.4,10.2,269,270,275,253,206,213,235,23,5.7,5.1,5,9.7,2.2,3.7,4.5,0.8
