locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
122374,4,5,,3.41,3.73,3.75,3.58,2.39,2.61,2.62,2.58,7.6,13.5,13.5,12.3,13.5,7.6,7.6,7.6,263,270,271,271,270,258,257,258,2.2,2.3,2.4,2.6,2,2,2.1,1.9
125185,3,4,,4,3.54,4.23,3.8,3,2.54,3.35,2.8,3.9,5.2,5.7,5.7,4.7,5.2,5.7,5.7,69,45,35,35,26,352,348,348,2.9,3.5,4.8,3.8,2.1,2.1,4.4,3.4
125280,0,1,,0.45,0.82,1.19,1.34,0,0,0.19,0.38,2.4,6.3,6.3,5.7,2.9,2.4,0,0,19,303,304,303,32,25,0,0,0.3,0.8,1.2,1.4,0.3,0.2,0,0
125307,3,4,,3.56,4.25,3.76,3.11,2.56,3.32,2.77,2.11,3.9,5.2,5.7,5.2,4.3,4.7,4.7,3.6,42,42,43,44,359,352,351,354,3.6,4.6,3.8,3,0.8,2,1.5,0.8
125493,3,4,,4.79,5.06,5.02,4.8,3.79,4.07,4.02,3.8,6.9,6.9,6.3,6.3,10.2,6.3,6.3,9.3,64,62,63,63,60,358,357,59,4.8,5.1,5,4.8,0.8,0.6,0.6,1
125737,4,5,,4.79,4.82,5.05,5.53,3.79,3.82,4.05,4.55,6.9,6.9,6.3,6.3,9.3,9.3,9.3,3.9,64,66,65,64,59,59,59,356,4.8,4.8,5.1,5.7,1.3,1.5,1.5,0.6
125738,2,3,,4.61,4.63,4.99,5.35,3.61,3.63,3.99,4.39,6.9,6.3,6.3,6.3,9.3,9.3,9.3,4.7,64,64,64,64,59,59,59,357,4.6,4.6,5,5.5,1.4,1.6,1.6,0.7
126153,1,2,very poor,2.77,2.86,2.7,2.38,1.86,1.98,1.76,1.38,4.7,5.2,5.2,5.2,9.3,9.3,10.2,3.2,226,231,231,221,113,112,110,253,3.1,3.2,2.7,1.9,1.2,1.1,1,1.1
126155,1,2,,2.86,2.68,2.39,1.82,1.98,1.81,1.45,0.82,4.3,4.7,4.7,4.3,9.3,9.3,9.3,9.3,226,236,239,226,111,111,110,111,3.3,3.1,2.3,1.4,1.3,1.2,1.1,0.9
126935,0,1,,2.18,2.39,2.02,1.55,1.18,1.53,1.15,0.55,3.6,3.9,3.9,3.2,3.2,3.9,3.6,5.2,346,344,342,349,29,23,21,103,1.8,2.3,1.9,1.1,1.3,1.3,1.2,0.7
